treated1fb	treated2fb	treated3fb	untreated1fb	untreated2fb	untreated3fb	untreated4fb
FBgn0000808	158	152	138	118	232	103	133
FBgn0000810	473	341	213	294	633	174	185
FBgn0000826	144	200	147	110	137	72	74
FBgn0000927	42	52	32	23	32	33	27
FBgn0000928	924	1070	738	703	767	455	476
FBgn0000964	1	0	0	0	0	0	1
FBgn0000986	3314	3244	2270	3079	3574	1948	1794
FBgn0000996	1413	1392	943	1310	2306	891	999
FBgn0001075	61	62	33	29	74	40	33
FBgn0001077	0	0	0	0	0	0	0
FBgn0001078	1387	1508	1165	1029	1789	1184	998
FBgn0001079	455	516	370	451	517	287	305
FBgn0001083	236	259	214	251	196	175	164
FBgn0001084	105	84	93	71	109	43	59
FBgn0001085	16	21	8	3	18	3	8
FBgn0001086	1491	1470	1065	1365	1788	855	866
FBgn0001087	2337	2323	2136	2050	2812	1680	1799
FBgn0001089	58	65	62	37	77	37	50
FBgn0001090	59	60	49	32	42	35	20
FBgn0001091	5197	7411	5214	3447	4180	2394	2784
FBgn0001092	10664	13876	9836	9799	10706	5032	6669
FBgn0001098	504	554	467	523	845	457	496
FBgn0001104	9926	8333	6893	8378	11626	5081	5231
FBgn0001105	5591	5411	4053	4244	7357	3127	3352
FBgn0001108	2430	2803	1997	2491	3441	1772	1862
FBgn0001112	3	0	0	1	0	1	0
FBgn0001114	32098	41627	29177	41626	71331	31095	35338
FBgn0001120	3	2	2	0	4	1	1
FBgn0001122	2238	1486	1377	956	1761	723	651
FBgn0001123	1879	1001	1063	1281	2587	902	906
FBgn0001124	2041	2085	1756	1121	1644	883	956
FBgn0001125	2555	3184	2788	3269	3701	2333	2608
FBgn0001128	301	270	301	355	488	303	309
FBgn0001133	518	670	589	619	751	420	539
FBgn0001134	3	12	5	2	18	6	13
FBgn0001137	413	301	272	935	979	510	629
FBgn0001138	0	0	0	2	2	0	0
FBgn0001139	4882	4829	4705	4264	7802	4424	4319
FBgn0001142	519	484	324	208	590	321	388
FBgn0001145	546	669	559	272	804	482	441
FBgn0001147	0	0	0	1	0	0	0
FBgn0001148	0	0	0	0	0	0	0
FBgn0001149+FBgn0038020	4599	3631	2808	3217	5153	1832	2563
FBgn0001150	40	38	39	35	77	35	44
FBgn0001168	4048	3339	2527	1844	5328	2116	2190
FBgn0001169	1794	1727	1353	1457	2250	1227	1086
FBgn0001170	4	3	1	1	3	3	1
FBgn0001174	1	0	0	0	1	0	2
FBgn0001180	4	2	2	2	19	4	6
FBgn0001185	694	538	486	538	843	323	391
FBgn0001186	3048	3308	2216	2190	3876	1719	1866
FBgn0001187	5	9	16	8	12	7	6
FBgn0001189	1826	1888	1418	1561	1955	932	1022
FBgn0001197	5157	4453	4122	4275	5314	2508	2789
FBgn0001202	1012	856	750	950	1182	620	731
FBgn0001203	505	479	470	234	612	410	395
FBgn0001205	443	573	435	494	495	358	362
FBgn0001206	836	924	657	540	802	366	404
FBgn0001208	1	1	0	1	0	0	0
FBgn0001215	7434	7244	6791	7678	11167	5678	5712
FBgn0001216	3	2	4	2	9	1	1
FBgn0001217	2	6	2	2	1	2	5
FBgn0001218	34588	37075	29170	28490	50251	20516	25107
FBgn0001219	89739	124347	88842	85951	113319	51980	68781
FBgn0001220	8121	7818	6183	8092	9237	4282	5098
FBgn0001222	1468	1243	1107	1340	2043	916	1002
FBgn0001224	1146	1085	866	326	513	192	309
FBgn0001225	726	765	599	253	339	159	226
FBgn0001226	2369	2775	2012	479	955	442	662
FBgn0001227	28	51	34	20	32	23	21
FBgn0001228+FBgn0001223	459	483	394	238	335	170	213
FBgn0001229	1	10	3	1	9	0	1
FBgn0001230	220	240	180	133	293	130	142
FBgn0001233	58189	64418	41042	45153	58925	28903	35817
FBgn0001234	1729	979	732	1023	1808	1052	825
FBgn0001235	1	1	0	0	2	2	0
FBgn0001247	2057	1758	1759	1489	2375	1152	1303
FBgn0001248	3393	4343	2981	3263	3666	1829	2287
FBgn0001250	51	48	47	37	65	34	36
FBgn0001253	0	4	1	2	1	2	4
FBgn0001254	1	4	0	0	2	0	1
FBgn0001255	28	31	7	22	29	9	17
FBgn0001256	1	0	0	1	1	2	1
FBgn0001257	12713	12181	9774	4918	12238	4791	5391
FBgn0001258	2361	2581	2423	1284	1677	926	1034
FBgn0001259	21	15	18	12	18	14	13
FBgn0001263	36	55	37	39	83	35	37
FBgn0001269	1	0	0	0	0	0	0
FBgn0001276	212	183	123	154	292	78	132
FBgn0001281+FBgn0001280	1259	795	977	1056	1330	487	592
FBgn0001285	0	0	0	0	0	0	0
FBgn0001291	1402	1394	1089	1263	2083	878	960
FBgn0001296	65	87	92	64	114	73	73
FBgn0001297	11619	11154	8727	11017	19843	10071	9616
FBgn0001301	1539	1540	1106	1278	1394	846	876
FBgn0001308	4274	4954	3831	4359	6167	3450	3511
FBgn0001311	16	24	21	11	17	12	10
FBgn0001313	0	0	0	0	2	0	0
FBgn0001314	0	0	0	0	0	0	0
FBgn0001315	0	0	0	0	0	0	0
FBgn0001319	2	2	2	0	4	1	1
FBgn0001320	0	0	0	0	0	0	0
FBgn0001321	18	6	18	7	20	7	5
FBgn0001323	0	0	0	1	0	0	0
FBgn0001324	2708	3344	2401	2681	3496	2029	2052
FBgn0001325	0	1	1	2	0	0	0
FBgn0001330	535	549	372	532	629	343	364
FBgn0001332	1143	1171	942	1326	2100	1127	1182
FBgn0001337	923	927	838	853	1150	616	582
FBgn0001341	462	481	276	469	556	240	265
FBgn0001404	1897	1637	1264	1312	2050	893	844
FBgn0001491	405	293	238	330	597	176	237
FBgn0001560	0	0	0	0	0	0	0
FBgn0001565	2595	2605	2241	2632	3086	1891	2312
FBgn0001612	1165	1026	778	1058	1175	536	627
FBgn0001624	7732	6647	6419	7575	11642	6095	5491
FBgn0001941	3691	3003	2275	3901	5290	1871	2228
FBgn0001942	63693	66192	62376	76776	101839	51303	64446
FBgn0001961	6442	9263	6894	7173	9706	5359	6586
FBgn0001965	1988	2282	1774	1891	2781	1492	1492
FBgn0001967	4	4	7	16	20	17	20
FBgn0001970	579	666	420	624	703	380	442
FBgn0001974	396	410	322	338	541	266	257
FBgn0001977	1201	1145	947	722	1041	502	676
FBgn0001978	6475	7607	5793	5446	8840	4676	5006
FBgn0001981	4	4	1	4	3	0	0
FBgn0001983	0	0	0	0	0	0	0
FBgn0001986	1455	1782	1160	1711	2134	1030	1180
FBgn0001987	799	795	686	725	697	448	435
FBgn0001989	1003	1017	744	904	1486	765	941
FBgn0001990	563	467	465	520	767	352	398
FBgn0001991	4	4	3	4	12	4	3
FBgn0001992	7	11	6	6	6	3	8
FBgn0001994	3855	3423	2630	1887	5292	2226	2129
FBgn0001995	574	628	518	560	758	373	452
FBgn0002021	371	334	263	289	396	172	199
FBgn0002022	1488	1647	1205	1505	1930	844	1125
FBgn0002023	1	1	4	1	5	1	4
FBgn0002031	4194	5028	3994	4010	4199	2938	3181
FBgn0002036	80	81	63	93	92	40	65
FBgn0002044	3294	3429	2389	2795	4557	2259	2321
FBgn0002069	5047	5969	4848	4316	5835	3242	3909
FBgn0002121	5234	3174	2431	4169	6760	2892	2464
FBgn0002174	1093	1486	1097	1135	1518	886	973
FBgn0002183	8814	9601	8236	8360	12863	6116	6823
FBgn0002283+FBgn0052163	569	560	574	624	734	414	449
FBgn0002284	2061	2316	1760	1885	2034	1111	1349
FBgn0002306	10	14	3	3	12	15	3
FBgn0002354	235	183	248	230	253	128	223
FBgn0002413	3976	3397	2539	3118	5442	2246	2411
FBgn0002431	8908	7526	4859	7908	11109	5046	4883
FBgn0002440	61	48	31	64	35	23	28
FBgn0002441	1976	2224	1491	1915	2617	1210	1347
FBgn0002466	3139	2955	2120	2716	3484	1693	1735
FBgn0002521	1025	321	293	778	912	299	256
FBgn0002522	0	0	0	0	1	1	1
FBgn0002524	7391	6324	4638	6997	8385	3990	4328
FBgn0002525	5818	6469	5010	5525	7520	3890	3727
FBgn0002526	109423	112528	74699	95149	136818	65352	64457
FBgn0002527	37181	35204	22091	46889	77200	32385	34142
FBgn0002528	16055	18903	14329	14808	21031	11808	12223
FBgn0002531	11	4	3	5	10	11	5
FBgn0002533	0	0	0	1	0	0	0
FBgn0002534	0	0	3	1	1	1	0
FBgn0002535	0	2	0	0	2	0	0
FBgn0002542	1726	1681	1181	1415	1941	989	1049
FBgn0002543	1505	1601	1330	424	1178	936	741
FBgn0002552	1004	1455	1048	1157	1353	819	902
FBgn0002561	0	0	0	0	0	0	0
FBgn0002562	0	0	0	0	0	0	0
FBgn0002563	4	8	4	4	7	1	3
FBgn0002564	19	34	11	12	28	16	10
FBgn0002565	0	2	2	1	5	1	2
FBgn0002566	3893	1634	1456	3033	3603	1530	1335
FBgn0002567	76	98	78	39	50	25	39
FBgn0002569	7	4	5	8	6	5	7
FBgn0002570	6	6	5	5	10	5	3
FBgn0002571	1	3	1	2	2	2	3
FBgn0002573	0	0	0	0	0	0	0
FBgn0002576	248	375	275	97	408	301	241
FBgn0002577	170	179	164	161	210	120	141
FBgn0002578	14	6	7	2	2	0	1
FBgn0002579	14222	13251	12094	11262	25687	9079	11911
FBgn0002590	41654	38151	43018	50607	58343	34509	44593
FBgn0002592	9	13	11	1	18	10	6
FBgn0002593	27006	31678	22341	32063	42548	21983	27134
FBgn0002607	36420	40855	32857	42829	47479	24611	33591
FBgn0002609	32	23	13	76	66	38	35
FBgn0002622	44745	57106	44997	45359	63624	31252	43829
FBgn0002626	38319	46301	47958	50321	65901	33303	45320
FBgn0002629	0	0	0	0	0	0	0
FBgn0002631	1	2	0	0	0	0	0
FBgn0002632	0	0	0	0	0	0	0
FBgn0002633	0	0	0	0	0	0	0
FBgn0002638	2902	3423	2461	3135	4353	2277	2519
FBgn0002641	596	571	388	427	584	274	334
FBgn0002643	3271	3543	2653	2767	4591	2862	2487
FBgn0002645	11057	7814	4921	7101	10895	4538	4000
FBgn0002673	105	101	69	105	145	71	64
FBgn0002707	413	404	315	355	489	226	254
FBgn0002715	274	257	157	186	244	98	128
FBgn0002719	8680	10536	7869	6105	11705	6488	7282
FBgn0002723	444	612	463	354	820	468	450
FBgn0002732	3	3	3	6	9	2	3
FBgn0002733	407	412	295	361	422	195	230
FBgn0002734	5	13	10	12	26	11	3
FBgn0002735	3	4	4	5	5	5	5
FBgn0002736	683	725	679	748	1036	447	481
FBgn0002772	2	0	7	4	6	1	2
FBgn0002773	33	23	40	47	97	57	89
FBgn0002774	1343	1170	787	1095	1496	647	746
FBgn0002775	471	476	465	546	785	344	461
FBgn0002778	1316	1059	930	2130	2083	1110	1213
FBgn0002780	5903	3471	2955	5539	8182	3008	3415
FBgn0002781	4911	5437	4774	4754	6591	3671	4170
FBgn0002783	4655	4868	4001	4004	6566	3425	3428
FBgn0002787	2089	2368	1790	1867	2444	1262	1407
FBgn0002789	2	0	0	0	2	0	0
FBgn0002791	643	549	438	502	626	301	336
FBgn0002838	2	3	0	0	0	1	1
FBgn0002842	6	7	2	3	2	0	2
FBgn0002855	0	0	0	0	0	0	0
FBgn0002856	0	0	0	0	0	0	0
FBgn0002862	0	0	0	0	0	0	0
FBgn0002863	5	2	0	7	3	0	0
FBgn0002865	0	0	1	1	1	0	1
FBgn0002868	52	42	45	295	384	80	144
FBgn0002869	0	0	0	0	0	0	0
FBgn0002872	1173	890	792	866	1186	550	522
FBgn0002873	3413	2698	2050	2532	3123	1638	1334
FBgn0002878	865	1086	658	969	1246	608	604
FBgn0002891	1489	1407	1098	977	1456	765	720
FBgn0002899	597	560	334	555	636	295	352
FBgn0002901	286	250	176	239	305	148	154
FBgn0002905	931	955	637	779	1103	511	551
FBgn0002906	693	579	392	625	1026	363	423
FBgn0002909+FBgn0259203	1048	774	636	876	1324	496	648
FBgn0002914	2954	2640	1784	2654	3941	1488	1709
FBgn0002917	80	102	58	72	64	49	51
FBgn0002921	18397	19684	15691	15686	21674	10953	11842
FBgn0002922	12	8	12	5	37	28	19
FBgn0002924	5492	6945	4927	4900	7156	3459	4135
FBgn0002926	140	138	97	135	123	91	54
FBgn0002930	2	8	3	1	3	0	1
FBgn0002931	118	81	58	100	160	60	59
FBgn0002932	865	810	571	777	999	460	522
FBgn0002933	0	0	0	0	0	0	0
FBgn0002936	6	4	4	2	3	3	7
FBgn0002937	1	0	0	1	0	0	0
FBgn0002938	0	4	0	1	1	0	1
FBgn0002939	4	5	4	5	16	6	6
FBgn0002940	2	2	2	1	1	2	1
FBgn0002941	0	1	2	0	1	0	3
FBgn0002945	46	31	28	40	117	73	53
FBgn0002948	401	436	301	330	436	225	252
FBgn0002962	18	15	11	10	13	12	8
FBgn0002968	4521	4492	3668	4356	6581	3040	3239
FBgn0002973	232	212	160	167	307	158	151
FBgn0002985	0	1	4	0	1	0	0
FBgn0002989	343	457	350	476	522	281	282
FBgn0003002	0	1	0	1	0	0	1
FBgn0003008	235	188	174	212	276	121	151
FBgn0003009	0	0	1	0	1	0	3
FBgn0003011	17	6	8	15	15	2	7
FBgn0003013	12334	15636	11014	10628	17418	11041	9165
FBgn0003015	57	25	21	29	44	20	27
FBgn0003016	397	393	315	272	505	254	237
FBgn0003022	1558	1689	1271	1251	1856	851	1003
FBgn0003023	22	18	20	10	27	15	25
FBgn0003028	8	7	6	1	8	1	10
FBgn0003031	47299	45058	35846	29625	67092	33526	36989
FBgn0003034	0	0	0	0	1	0	0
FBgn0003041	2585	2374	2055	1981	2199	1306	1400
FBgn0003042	242	198	196	204	274	167	140
FBgn0003044	1954	2314	1698	1759	2802	1374	1359
FBgn0003046	4	2	4	4	9	3	8
FBgn0003048	5864	6483	4229	4522	6584	3697	3177
FBgn0003053	182	208	157	35	132	92	78
FBgn0003057	0	0	0	0	1	0	0
FBgn0003060	0	0	0	0	0	0	0
FBgn0003062	2030	3373	2621	2492	2787	2016	2125
FBgn0003065	0	2	1	0	1	1	1
FBgn0003067	1305	1504	1019	663	2122	1092	1126
FBgn0003068	137	195	205	157	215	161	172
FBgn0003071	1575	1665	1797	1390	2157	1474	1483
FBgn0003074	3268	3867	3461	2262	2861	1622	1827
FBgn0003076	2344	2484	2088	1335	2028	908	1119
FBgn0003079	943	857	680	810	1076	487	591
FBgn0003082	676	980	619	743	660	488	539
FBgn0003086	0	0	0	0	0	0	0
FBgn0003087	245	99	79	165	140	55	46
FBgn0003089	12	8	7	3	16	13	9
FBgn0003090	2	4	9	4	8	3	8
FBgn0003091	4	2	5	2	14	6	3
FBgn0003093	1645	1827	1566	1573	2785	1547	1546
FBgn0003114	1	1	0	1	0	1	1
FBgn0003116	211	171	123	172	211	101	106
FBgn0003117	5410	6457	4943	7258	8373	5109	5110
FBgn0003118	9290	8272	6762	6888	12695	6023	5608
FBgn0003124	3665	3244	2544	2696	3587	1766	1839
FBgn0003129	0	2	1	0	0	1	2
FBgn0003130	2	0	0	1	0	0	0
FBgn0003132	3	0	1	0	3	0	0
FBgn0003134	1633	1480	1346	1367	2382	1094	1215
FBgn0003137	7587	8050	6067	3845	5094	2779	2764
FBgn0003138	2697	2757	2794	2643	3985	2188	2201
FBgn0003139	836	828	796	832	906	470	624
FBgn0003140	0	0	0	0	0	0	0
FBgn0003141	570	437	436	542	906	286	387
FBgn0003145	0	0	1	1	0	0	0
FBgn0003149	19	20	14	11	8	11	6
FBgn0003159	1086	971	716	654	1467	577	557
FBgn0003162	126	124	111	69	131	79	86
FBgn0003165	6662	6676	5366	3272	8262	4631	4011
FBgn0003169	1894	1778	1515	1937	2633	1443	1481
FBgn0003174	5	3	5	1	5	1	0
FBgn0003175	2156	2521	2066	1995	3602	1921	1808
FBgn0003177	5019	5233	4374	3439	5927	3392	2826
FBgn0003178	6957	8440	6511	6813	8082	4805	5463
FBgn0003187	20	13	19	10	13	7	7
FBgn0003189	4250	5654	3692	5300	5531	3548	3663
FBgn0003200	622	673	500	481	669	411	406
FBgn0003204	1237	1544	1295	1502	1699	1187	1253
FBgn0003205	3301	2785	2716	3329	4229	1966	2066
FBgn0003206	1234	938	725	1104	1285	510	653
FBgn0003209	1353	1354	1116	1132	1423	872	915
FBgn0003210	2054	1863	1384	1495	2218	1062	1124
FBgn0003218	902	1060	770	898	1077	743	785
FBgn0003227	318	310	229	215	287	159	173
FBgn0003231	3730	3264	2784	3233	5502	2376	2668
FBgn0003248	1	4	3	1	1	2	0
FBgn0003249	1	0	2	0	1	0	0
FBgn0003250	2	2	0	1	2	0	0
FBgn0003254	5	2	1	3	12	0	2
FBgn0003255	20	18	28	10	16	13	14
FBgn0003256	0	0	0	0	0	0	0
FBgn0003257	818	1049	720	742	913	479	509
FBgn0003261	18558	17685	15344	16337	28435	14784	15165
